,feature_name,Coefficients,p_values,,,,
0,Intercept,-1.23973398400,,,,,
1,grade:A,1.16731959521,0.00000000000,,,,
2,grade:B,0.91159640558,0.00000000000,,,,
3,grade:C,0.70929089848,0.00000000000,,,,
4,grade:D,0.51690723472,0.00000000000,,,,
5,grade:E,0.33212008073,0.00000000000,,,,
6,grade:F,0.14216998620,0.00425008578,,,,Statistically Significant
7,home_ownership:OWN,0.08692763826,0.00001319438,,,,Statistically  Insignificant
8,home_ownership:MORTGAGE,0.10177402237,0.00000000000,,,,
9,addr_state:NM_VA,0.01912996483,0.54591450528,,,,
10,addr_state:NY,0.04666168193,0.05236620526,,,,
11,addr_state:OK_TN_MO_LA_MD_NC,0.05001431169,0.02957510189,,,,
12,addr_state:CA,0.05730007559,0.00653582403,,,,
13,addr_state:UT_KY_AZ_NJ,0.07417435705,0.00271990747,,,,
14,addr_state:AR_MI_PA_OH_MN,0.12803031035,0.00000001045,,,,
15,addr_state:RI_MA_DE_SD_IN,0.09083023784,0.00212828453,,,,
16,addr_state:GA_WA_OR,0.17305282714,0.00000000006,,,,
17,addr_state:WI_MT,0.23371336696,0.00000071007,,,,
18,addr_state:TX,0.21053567584,0.00000000000,,,,
19,addr_state:IL_CT,0.26126070418,0.00000000000,,,,
20,addr_state:KS_SC_CO_VT_AK_MS,0.30947423728,0.00000000000,,,,
21,addr_state:WV_NH_WY_DC_ME_ID,0.50037194922,0.00000000000,,,,
22,verification_status:Not Verified,0.09615706230,0.00000000004,,,,
23,verification_status:Source Verified,-0.00771726731,0.56208942333,,,,
24,purpose:credit_card,0.30844667794,0.00000000000,,,,
25,purpose:debt_consolidation,0.20504199702,0.00000000000,,,,
26,purpose:oth__med__vacation,0.21602707907,0.00000000000,,,,
27,purpose:major_purch__car__home_impr,0.27087827764,0.00000000000,,,,
28,initial_list_status:w,0.04990460849,0.00010555292,,,,
29,term:36,0.07436064218,0.00000011379,,,,
30,emp_length:1,0.10153668894,0.00007693079,,,,
31,emp_length:2-4,0.12636126945,0.00000000001,,,,
32,emp_length:5-6,0.09714308708,0.00000460496,,,,
33,emp_length:7-9,0.06716361510,0.00110211688,,,,
34,emp_length:10,0.12806247294,0.00000000000,,,,
35,mths_since_issue_d:<38,1.03002308654,0.00000000000,,,,
36,mths_since_issue_d:38-39,0.82155544125,0.00000000000,,,,
37,mths_since_issue_d:40-41,0.73747331683,0.00000000000,,,,
38,mths_since_issue_d:42-48,0.54835580158,0.00000000000,,,,
39,mths_since_issue_d:49-52,0.39875557187,0.00000000000,,,,
40,mths_since_issue_d:53-64,0.16183318747,0.00000004393,,,,
41,mths_since_issue_d:65-84,-0.06293120124,0.02888881124,,,,
42,int_rate:<9.548,0.84612352091,0.00000000000,,,,
43,int_rate:9.548-12.025,0.52712881836,0.00000000000,,,,
44,int_rate:12.025-15.74,0.28700105051,0.00000000000,,,,
45,int_rate:15.74-20.281,0.10478842277,0.00027488242,,,,
46,mths_since_earliest_cr_line:141-164,0.05628205268,0.02256356195,,,,
47,mths_since_earliest_cr_line:165-247,0.04670583241,0.02032047027,,,,
48,mths_since_earliest_cr_line:248-270,0.09264668491,0.00043229523,,,,
49,mths_since_earliest_cr_line:271-352,0.12786517480,0.00000006217,,,,
50,mths_since_earliest_cr_line:>352,0.13370358135,0.00000056161,,,,
51,delinq_2yrs:0,0.07927563947,0.15473252058,,,,
52,delinq_2yrs:1-3,0.05376715314,0.30526400940,,,,
53,inq_last_6mths:0,0.66605602114,0.00000000578,,,,
54,inq_last_6mths:1-2,0.52538898458,0.00000423681,,,,
55,inq_last_6mths:3-6,0.31573653380,0.00592970359,,,,
56,open_acc:1-3,0.01597105701,0.91975174441,,,,
57,open_acc:4-12,-0.09100766899,0.55524090399,,,,
58,open_acc:13-17,-0.12170775342,0.43110585537,,,,
59,open_acc:18-22,-0.13843962145,0.37365457893,,,,
60,open_acc:23-25,-0.13700119045,0.39293521079,,,,
61,open_acc:26-30,-0.13052753041,0.43015451699,,,,
62,open_acc:>=31,-0.18881210542,0.29409896156,,,,
63,pub_rec:3-4,0.12365677583,0.18343614789,,,,
64,pub_rec:>=5,0.21630832041,0.25922738611,,,,
65,total_acc:28-51,-0.01744106295,0.21443233798,,,,
66,total_acc:>=52,0.03264954295,0.40556629073,,,,
67,acc_now_delinq:>=1,0.24842148333,0.01598297872,,,,
68,total_rev_hi_lim:5K-10K,0.04123182333,0.09146377453,,,,
69,total_rev_hi_lim:10K-20K,0.01213685572,0.60814262621,,,,
70,total_rev_hi_lim:20K-30K,0.01362791259,0.60007400398,,,,
71,total_rev_hi_lim:30K-40K,0.03123512922,0.28409789251,,,,
72,total_rev_hi_lim:40K-55K,0.05845131565,0.06639487195,,,,
73,total_rev_hi_lim:55K-95K,0.07495236431,0.03524538126,,,,
74,total_rev_hi_lim:>95K,0.21629040198,0.00010096695,,,,
75,annual_inc:20K-30K,-0.05907330421,0.16525436170,,,,
76,annual_inc:30K-40K,0.00561258699,0.89130468226,,,,
77,annual_inc:40K-50K,0.09747196427,0.01772133115,,,,
78,annual_inc:50K-60K,0.16970247922,0.00004685338,,,,
79,annual_inc:60K-70K,0.23944104129,0.00000002018,,,,
80,annual_inc:70K-80K,0.31554763597,0.00000000000,,,,
81,annual_inc:80K-90K,0.38827089103,0.00000000000,,,,
82,annual_inc:90K-100K,0.39898997353,0.00000000000,,,,
83,annual_inc:100K-120K,0.48650479749,0.00000000000,,,,
84,annual_inc:120K-140K,0.55861162551,0.00000000000,,,,
85,annual_inc:>140K,0.50017399489,0.00000000000,,,,
86,dti:<=1.4,0.22057666462,0.01141394968,,,,
87,dti:1.4-3.5,0.34659628390,0.00000233450,,,,
88,dti:3.5-7.7,0.36577556358,0.00000000963,,,,
89,dti:7.7-10.5,0.30557461666,0.00000131933,,,,
90,dti:10.5-16.1,0.23549349866,0.00011898314,,,,
91,dti:16.1-20.3,0.13857648854,0.02347510599,,,,
92,dti:20.3-21.7,0.12337699850,0.05246578652,,,,
93,dti:21.7-22.4,0.08692319743,0.19731315148,,,,
94,dti:22.4-35,0.05496334342,0.36293835676,,,,
95,mths_since_last_delinq:Missing,0.15057506242,0.00428202185,,,,
96,mths_since_last_delinq:4-30,0.19147275001,0.00010228566,,,,
97,mths_since_last_delinq:31-56,0.22327421340,0.00003663928,,,,
98,mths_since_last_delinq:>=57,0.17845266141,0.00125112537,,,,
99,mths_since_last_record:Missing,0.10204513422,0.00000323749,,,,
100,mths_since_last_record:3-20,0.19024334483,0.04273314463,,,,
101,mths_since_last_record:21-31,0.10794262358,0.17452707537,,,,
102,mths_since_last_record:32-80,0.28509689379,0.00000000000,,,,
103,mths_since_last_record:81-86,-0.05811651584,0.36616776329,,,,
